cliente_id,nombre,apellido,email,telefono,direccion
1,Verónica,Cabrera Sánchez,verónica.cabrera.sánchez@example.com,+34 975570603,"Avenida de Emilio Palomo 306, Huelva, 46891"
2,David,Rodríguez Rodríguez,david.rodríguez.rodríguez@example.com,+34945 34 00 22,"Urbanización Trini Heras 1 Puerta 3 , Lleida, 19381"
3,Carmen,Zambrano Rodríguez,carmen.zambrano.rodríguez@example.com,+34985 563 063,"Plaza de María Pilar Carrión 89 Puerta 7 , Málaga, 09679"
4,Luis,Zambrano García,luis.zambrano.garcía@example.com,+34902 845 134,"Rambla de Ainoa Garcés 92, Badajoz, 47796"
5,David,Cabrera Daquilema,david.cabrera.daquilema@example.com,+34 978 024 314,"Pasaje de Juana Marquez 11, La Coruña, 50561"
6,Carmen,Cabrera Sánchez,carmen.cabrera.sánchez@example.com,+34 921392951,"Acceso Heriberto Fonseca 37 Apt. 24 , Lugo, 38017"
7,Sofía,Lema Zambrano,sofía.lema.zambrano@example.com,+34 883 949 771,"Cuesta de Pastora Montoya 19 Puerta 8 , Zaragoza, 44453"
8,Carmen,Guamán Zambrano,carmen.guamán.zambrano@example.com,+34820216696,"Cuesta Chita Cifuentes 9 Apt. 41 , Palencia, 46286"
9,Carmen,Morocho Zambrano,carmen.morocho.zambrano@example.com,+34871 57 22 28,"Rambla de Daniela Aguirre 562, Huelva, 18412"
10,María,Daquilema Sánchez,maría.daquilema.sánchez@example.com,+34884 22 61 01,"Vial Gabino Asensio 53 Puerta 3 , Girona, 20818"
11,Ana,García Sánchez,ana.garcía.sánchez@example.com,+34944 43 40 53,"Acceso Jerónimo Garcia 15 Apt. 94 , Santa Cruz de Tenerife, 45191"
12,Luis,Zambrano Cabrera,luis.zambrano.cabrera@example.com,+34820821041,"Cañada de Fidel Ortiz 48, Ourense, 29013"
13,José,Guamán Daquilema,josé.guamán.daquilema@example.com,+34 988 353 957,"Vial Encarnacion Tovar 93, Tarragona, 43023"
14,José,Rodríguez Zambrano,josé.rodríguez.zambrano@example.com,+34982977926,"Plaza Loreto Garcés 59, Guipúzcoa, 40160"
15,Verónica,Sánchez Zambrano,verónica.sánchez.zambrano@example.com,+34 981 669 885,"Urbanización de Arturo Quintanilla 92 Puerta 7 , Guipúzcoa, 13700"
16,Sofía,Rodríguez García,sofía.rodríguez.garcía@example.com,+34873384551,"Acceso Francisco Jose Mesa 44 Piso 0 , Ávila, 26340"
